"subjectid" "activitylabel" "tBodyAccmeanX" "tBodyAccmeanY" "tBodyAccmeanZ" "tBodyAccstdX" "tBodyAccstdY" "tBodyAccstdZ" "tGravityAccmeanX" "tGravityAccmeanY" "tGravityAccmeanZ" "tGravityAccstdX" "tGravityAccstdY" "tGravityAccstdZ" "tBodyAccJerkmeanX" "tBodyAccJerkmeanY" "tBodyAccJerkmeanZ" "tBodyAccJerkstdX" "tBodyAccJerkstdY" "tBodyAccJerkstdZ" "tBodyGyromeanX" "tBodyGyromeanY" "tBodyGyromeanZ" "tBodyGyrostdX" "tBodyGyrostdY" "tBodyGyrostdZ" "tBodyGyroJerkmeanX" "tBodyGyroJerkmeanY" "tBodyGyroJerkmeanZ" "tBodyGyroJerkstdX" "tBodyGyroJerkstdY" "tBodyGyroJerkstdZ" "tBodyAccMagmean" "tBodyAccMagstd" "tGravityAccMagmean" "tGravityAccMagstd" "tBodyAccJerkMagmean" "tBodyAccJerkMagstd" "tBodyGyroMagmean" "tBodyGyroMagstd" "tBodyGyroJerkMagmean" "tBodyGyroJerkMagstd" "fBodyAccmeanX" "fBodyAccmeanY" "fBodyAccmeanZ" "fBodyAccstdX" "fBodyAccstdY" "fBodyAccstdZ" "fBodyAccJerkmeanX" "fBodyAccJerkmeanY" "fBodyAccJerkmeanZ" "fBodyAccJerkstdX" "fBodyAccJerkstdY" "fBodyAccJerkstdZ" "fBodyGyromeanX" "fBodyGyromeanY" "fBodyGyromeanZ" "fBodyGyrostdX" "fBodyGyrostdY" "fBodyGyrostdZ" "fBodyAccMagmean" "fBodyAccMagstd" "fBodyAccJerkMagmean" "fBodyAccJerkMagstd" "fBodyGyroMagmean" "fBodyGyroMagstd" "fBodyGyroJerkMagmean" "fBodyGyroJerkMagstd"
"1" 2 "LAYING" 0.298369803333333 -0.0126036054666667 -0.12337341 -0.920973256666667 -0.940969643333333 -0.95075298 -0.37706521 0.765900283333333 0.6279717 -0.840842246666667 -0.94565637 -0.934178976666667 0.132662755666667 -9.90496666666667e-05 -0.00621244196666667 -0.966142363333333 -0.968310293333333 -0.977764153333333 -0.0109621615333333 -0.18888753 0.419071573333333 -0.976655296666667 -0.96133671 -0.889261626666667 -0.109412382666667 -0.025483362 -0.116583667333333 -0.987911956666667 -0.9773664 -0.983161413333333 -0.93421756 -0.89838217 -0.93421756 -0.89838217 -0.97293698 -0.96397916 -0.831779163333333 -0.88982531 -0.982777426666667 -0.978005303333333 -0.919757823333333 -0.949286866666667 -0.963283723333333 -0.921456323333333 -0.9405992 -0.947651406666667 -0.965615626666667 -0.96812002 -0.973444986666667 -0.96988643 -0.97090571 -0.98089986 -0.972469686666667 -0.963328336666667 -0.899477426666667 -0.97797682 -0.960915193333333 -0.896002026666667 -0.89674077 -0.914389856666667 -0.965928493333333 -0.960671553333333 -0.92608647 -0.88704646 -0.978341 -0.978793983333333
"2" 2 "SITTING" 0.277825252857143 -0.0151833587571429 -0.118244458142857 -0.98801182 -0.952963107142857 -0.948616521428571 0.961876491428571 -0.133161948571429 0.117374328714286 -0.983227574285714 -0.962237634285714 -0.944998907142857 0.0739114697142857 0.0161383821428571 0.01509168756 -0.984053358571429 -0.978704548571429 -0.988930281428571 -0.0821363455714286 -0.0421982857714286 -0.029671398 -0.970341011428571 -0.976567405714286 -0.936081468571429 -0.0805204252857143 -0.0430714517142857 -0.0226386301428571 -0.990250154285714 -0.990724017142857 -0.983806444285714 -0.966614915714286 -0.960616294285714 -0.966614915714286 -0.960616294285714 -0.985729718571429 -0.984093242857143 -0.910968157142857 -0.929437341428571 -0.990208337142857 -0.990175748571429 -0.985989758571429 -0.961118808571429 -0.966864152857143 -0.988966132857143 -0.951407051428571 -0.942754304285714 -0.983748778571429 -0.977629261428571 -0.986439565714286 -0.985877592857143 -0.981773607142857 -0.990129808571429 -0.967131071428571 -0.981345434285714 -0.938065212857143 -0.971445565714286 -0.974101104285714 -0.941299561428571 -0.967555175714286 -0.96223659 -0.983248924285714 -0.983843594285714 -0.951371542857143 -0.928287718571429 -0.990411542857143 -0.99009982
"3" 2 "STANDING" 0.276065952857143 -0.01919404975 -0.101989372571429 -0.989461034285714 -0.970547777142857 -0.94933721 0.913939591428571 -0.322720318571429 0.155337642857143 -0.9914957 -0.982834494285714 -0.949212794285714 0.0745753422142857 0.0105784466278571 -0.00822760281428571 -0.982325194285714 -0.975838053571429 -0.982162365714286 -0.0232220557785714 -0.0920833692142857 0.105876904785714 -0.972758105 -0.967712566428571 -0.974773322857143 -0.108244374071429 -0.0474040525 -0.0607673667142857 -0.980845463571429 -0.983745540714286 -0.981047641428571 -0.972513884285714 -0.959811448571429 -0.972513884285714 -0.959811448571429 -0.98216662 -0.977345751428571 -0.956536564285714 -0.959139607142857 -0.985073990714286 -0.980330534285714 -0.985613204285714 -0.969061698571429 -0.963169100714286 -0.991514055714286 -0.972213407857143 -0.94549127 -0.981418461428571 -0.975643598571429 -0.979056493571429 -0.9851457 -0.977920929285714 -0.983962105 -0.967142721428571 -0.968607988571429 -0.971389550714286 -0.974722502142857 -0.967398662857143 -0.978445828571429 -0.96627235 -0.962143892142857 -0.976846986428571 -0.97682754 -0.963014272142857 -0.963349630714286 -0.980797435714286 -0.980763856428571
"4" 2 "WALKING" 0.2789556 -0.0156844142833333 -0.111850291916667 -0.433154585833333 -0.116998629916667 -0.434499000833333 0.913017751666667 -0.347955273333333 0.08439746675 -0.9652461925 -0.968614475 -0.97399492 0.0787104444 0.0420618350833333 0.0478600902333333 -0.2820727275 -0.0942217535 -0.5795869275 -0.05588602775 -0.0502484406666667 0.06582611275 -0.574749266666667 -0.536889920833333 -0.488407493333333 -0.0514181856666667 -0.058104614025 -0.02838710905 -0.418490703333333 -0.628082291666667 -0.44369514 -0.30749289 -0.44058225 -0.30749289 -0.44058225 -0.305748760833333 -0.192296307916667 -0.4536551 -0.559649024166667 -0.5511737025 -0.5686913925 -0.34945996 -0.0798594496666667 -0.4635432275 -0.470284849166667 -0.194185283666667 -0.463816801666667 -0.3104978325 -0.158408538333333 -0.5553702625 -0.316615979166667 -0.0847340973333333 -0.601583150833333 -0.438373079166667 -0.5397859025 -0.39803533 -0.618997086666667 -0.539734220833333 -0.5689752275 -0.35559987 -0.5823855125 -0.197148687 -0.191868183333333 -0.52162073 -0.67129928 -0.5899726375 -0.5734084375
"5" 2 "WALKING_DOWNSTAIRS" 0.272643858333333 -0.0264525825333333 -0.10568433775 0.11809938225 0.293931417975 -0.0233423748333333 0.8441963025 -0.325026796666667 -0.104813021166667 -0.940594168333333 -0.949212614166667 -0.941178736666667 0.135324869966667 -0.0133931379416667 0.0305791007833333 0.232864254 0.132338232441667 -0.281565165833333 -0.111566054916667 -0.01139388625 0.148217191416667 -0.269508145916667 -0.379924184166667 -0.276065768333333 -0.13503711925 -0.0625178118666667 -0.0930325137833333 -0.15771976 -0.399627226666667 -0.19349570775 0.159398021008333 0.274303891666667 0.159398021008333 0.274303891666667 0.0664519655 0.299207837416667 -0.1073853215 -0.198367423916667 -0.36389525 -0.240785516333333 0.179118897583333 0.291071919833333 -0.08054511475 0.0902774335333333 0.211462418416667 -0.0736601619166667 0.196057863833333 0.098824670775 -0.217505286416667 0.159469932225 0.0889674006666667 -0.34458677 -0.0693136731666667 -0.3055584425 -0.06694152195 -0.336758136833333 -0.436090443333333 -0.426225659166667 0.35451098075 0.02665265925 0.305927760166667 0.277495442 -0.22924783075 -0.320565780833333 -0.268897565166667 -0.25771218075
"6" 2 "WALKING_UPSTAIRS" 0.33161703 -0.0312567403333333 -0.175878454333333 -0.172886846666667 0.143164075666667 -0.250372303333333 0.82649651 -0.49814296 0.0221841627333333 -0.952312216666667 -0.930605636666667 -0.781512363333333 -0.00122261233333333 -0.00882221499999999 0.0799469373333333 -0.140754226 0.0601403266666667 -0.65809325 -0.0360792276666667 -0.0491755366666667 -0.0288693463333333 -0.503417223333333 -0.438727566666667 -0.380282213333333 0.0649967612666667 0.0275312066666667 0.0584821226666667 -0.435841566666667 -0.653911483333333 -0.4773688 -0.052401894 -0.14365536 -0.052401894 -0.14365536 -0.2135479 -0.0561981066666667 -0.273616776666667 -0.46614045 -0.566829136666667 -0.612942723333333 -0.121613038333333 0.1740619641 -0.408634353333333 -0.19508791 0.0505407684 -0.227758163333333 -0.105388599333333 0.0808209966666667 -0.595226926666667 -0.265521383333333 -0.045986599 -0.725145283333333 -0.35855276 -0.47516321 -0.331795756666667 -0.550285906666667 -0.421975783333333 -0.454299686666667 -0.0580887188333333 -0.329337416666667 -0.030038212 -0.0972287596666667 -0.497967353333333 -0.535937943333333 -0.634248986666667 -0.61315409
"7" 4 "LAYING" 0.27567656875 -0.016992163375 -0.10999372 -0.98780690125 -0.978626665 -0.9816133575 -0.4196532025 0.934826695 0.284653985 -0.990916375 -0.9974051625 -0.99085356625 0.0748569175 0.007590470725 -0.00156882653375 -0.9901725975 -0.972293205 -0.9895021225 -0.033183633625 -0.06431281125 0.07597796025 -0.99045938875 -0.96890775625 -0.99313588875 -0.09566993825 -0.0426151045 -0.052781546375 -0.99175737875 -0.993417 -0.99477501125 -0.9871787875 -0.98036029125 -0.9871787875 -0.98036029125 -0.98794582875 -0.9806136325 -0.97496502625 -0.97933885875 -0.99454298625 -0.9937334125 -0.989588565 -0.97368703 -0.98586154375 -0.98709925875 -0.98205248875 -0.98001522875 -0.990195015 -0.97260693875 -0.9875558775 -0.99109338 -0.9739434 -0.99005758125 -0.9887611325 -0.98243094 -0.99238626 -0.99100427375 -0.96287276625 -0.99399183875 -0.98128565625 -0.98188364375 -0.98019158 -0.98001627 -0.985568445 -0.9787192925 -0.9943114775 -0.99328476
"8" 4 "SITTING" 0.274948445454545 -0.0193470375454545 -0.0981533662727273 -0.981634240909091 -0.889383472727273 -0.935628876363636 0.919008934545455 0.1033082217677 0.088938759 -0.994058190909091 -0.961001491818182 -0.968402105454545 0.0800948803636364 0.0160622549909091 -0.00421716353090909 -0.972063281818182 -0.932369350909091 -0.976575199090909 -0.0225401138181818 -0.0727752065454546 0.103690937181818 -0.977135638181818 -0.947986140909091 -0.918727260909091 -0.097313151 -0.0419607002727273 -0.0569309480909091 -0.968664262727273 -0.982334835454545 -0.960554330909091 -0.940394417272727 -0.929583542727273 -0.940394417272727 -0.929583542727273 -0.96282908 -0.956675726363636 -0.947725150909091 -0.930409599090909 -0.977027778181818 -0.973515495454546 -0.976526765454545 -0.907104526363636 -0.954248700909091 -0.984199564545455 -0.887515102727273 -0.930654638181818 -0.972583928181818 -0.933622238181818 -0.97259494 -0.974079114545454 -0.935763780909091 -0.979268256363636 -0.968011501818182 -0.962815669090909 -0.928232773636364 -0.980265733636364 -0.941188303636364 -0.923264763636364 -0.941530362727273 -0.934109857272727 -0.956068843636364 -0.956401367272727 -0.949827678181818 -0.93049749 -0.97435403 -0.973967308181818
"9" 4 "WALKING" 0.2919337 -0.0254692916666667 -0.119344156 -0.415812996666667 -0.0118873023333333 -0.640050446666667 0.96849718 -0.0560641866666667 0.110775853333333 -0.980179293333333 -0.961912436666667 -0.947555203333333 0.0307698503333333 0.147785807666667 -0.00203843783333333 -0.272830013333333 -0.163429235833333 -0.806566546666667 -0.0498549223333333 -0.0766251863333333 0.048788587 -0.52838031 -0.67520005 -0.674433636666667 -0.0835112186666667 -0.00806779666666667 -0.0283166338 -0.46052768 -0.83009378 -0.62537664 -0.28503764 -0.50448763 -0.28503764 -0.50448763 -0.352329563333333 -0.281865096666667 -0.529080583333333 -0.589858686666667 -0.68258312 -0.71483864 -0.437255556666667 -0.124333701333333 -0.6872725 -0.407627766666667 -0.0183703436666667 -0.642107553333333 -0.377446396666667 -0.233259770666667 -0.784275293333333 -0.234218696666667 -0.142727700666667 -0.828525763333333 -0.390258313333333 -0.69665488 -0.618538203333333 -0.572625063333333 -0.664914743333333 -0.72476558 -0.421180246666667 -0.635917266666667 -0.292287773333333 -0.275457373333333 -0.620079766666667 -0.639538353333333 -0.703813693333333 -0.751216643333333
"10" 4 "WALKING_DOWNSTAIRS" 0.27667681 -0.00569238723333333 -0.0960525195 -0.0931407998333333 -0.321171451666667 -0.440507 0.948354436666667 -0.096078096 0.151591988333333 -0.95980634 -0.956728523333333 -0.932583641666667 0.0028250655 -0.000254595500000003 -0.0416190498333333 -0.2107008 -0.30888703 -0.614316443333333 -0.0254441575 -0.0459299033333333 0.0971140633333333 -0.39943731 -0.666964406666667 -0.513230015 -0.217957968666667 -0.02035397945 -0.106419837166667 -0.502981858333333 -0.803189383333333 -0.357675211666667 -0.13953440985 -0.157915556333333 -0.13953440985 -0.157915556333333 -0.30195154 -0.300077051666667 -0.366418813333333 -0.431079410333333 -0.624336005 -0.677255708333333 -0.112343872833333 -0.272722398333333 -0.480996606666667 -0.0898022156666667 -0.391924266666667 -0.46232252 -0.222994621666667 -0.336846046666667 -0.583081251666667 -0.27055001 -0.327234611666667 -0.644019193333333 -0.2910727605 -0.694235093333333 -0.327931543333333 -0.435360238333333 -0.653937616666667 -0.637702041666667 -0.0933775176666667 -0.329626208333333 -0.251661796666667 -0.374531206666667 -0.48129783 -0.496805696666667 -0.671432068333333 -0.708490283333333
